,Unnamed: 0,DOI,Journal,Type,Title,Publish_Time,Issue_Time,Co_Author,Author,Rank,Nationality,Abs_country,Abs_GPE,Abs_LOC,Nationality_clean,country_code,region_code,GPE,NORP,LOC,ORG,LANG
1,1,https://doi.org/10.1017/aaq.2021.115,American Antiquity,Article,direct evidence for geophyte exploitation in the wyoming basin,02 November 2021, April 2022,True,Kaley Joyce,First,United States of America,['10'],['Wyoming'],['the Wyoming Basin' 'the Wyoming Basin'],United States,US,NA,,,['the wyoming basin'],,
2,2,https://doi.org/10.1017/aaq.2021.115,American Antiquity,Article,direct evidence for geophyte exploitation in the wyoming basin,02 November 2021, April 2022,True,Lisbeth A. Louderback,Other,United States of America,['10'],['Wyoming'],['the Wyoming Basin' 'the Wyoming Basin'],United States,US,NA,,,['the wyoming basin'],,
3,3,https://doi.org/10.1017/aaq.2021.115,American Antiquity,Article,direct evidence for geophyte exploitation in the wyoming basin,02 November 2021, April 2022,True,Erick Robinson,Communication,United States of America,['10'],['Wyoming'],['the Wyoming Basin' 'the Wyoming Basin'],United States,US,NA,,,['the wyoming basin'],,
4,4,https://doi.org/10.1017/aaq.2021.119,American Antiquity,Article,"regional conflict, ceramic senescence, and pawnee raw material choice in the late contact era",02 December 2021, April 2022,True,Margaret E. Beck,First,United States of America,[],['Kitkahahki Town'],['the Central Great Plains'],United States,US,NA,,,,,
5,5,https://doi.org/10.1017/aaq.2021.119,American Antiquity,Article,"regional conflict, ceramic senescence, and pawnee raw material choice in the late contact era",02 December 2021, April 2022,True,Richard L. Josephs,Other,United States of America,[],['Kitkahahki Town'],['the Central Great Plains'],United States,US,NA,,,,,
6,6,https://doi.org/10.1017/aaq.2021.119,American Antiquity,Article,"regional conflict, ceramic senescence, and pawnee raw material choice in the late contact era",02 December 2021, April 2022,True,Lauren W. Ritterbush,Other,United States of America,[],['Kitkahahki Town'],['the Central Great Plains'],United States,US,NA,,,,,
7,7,https://doi.org/10.1017/aaq.2021.119,American Antiquity,Article,"regional conflict, ceramic senescence, and pawnee raw material choice in the late contact era",02 December 2021, April 2022,True,Donna C. Roper,Communication,United States of America,[],['Kitkahahki Town'],['the Central Great Plains'],United States,US,NA,,,,,
8,8,https://doi.org/10.1017/aaq.2021.121,American Antiquity,Article,optimal linear estimation (ole) modeling supports early holocene (9000–8000 rcybp) copper tool production in north america,07 January 2022, April 2022,True,Michelle R. Bebber,First,United States of America,[],[],['North America' 'the Lake Superior' 'North America'],United States,US,NA,,,['north america'],,
9,9,https://doi.org/10.1017/aaq.2021.121,American Antiquity,Article,optimal linear estimation (ole) modeling supports early holocene (9000–8000 rcybp) copper tool production in north america,07 January 2022, April 2022,True,Alastair J. M. Key,Communication,United Kingdom,[],[],['North America' 'the Lake Superior' 'North America'],United Kingdom,GB,EU,,,['north america'],,
10,10,https://doi.org/10.1017/aaq.2021.131,American Antiquity,Article,the nutritional content of five southwestern us indigenous maize (zea mays l.) landraces of varying endosperm type,09 December 2021, April 2022,True,Sarah E. Oas,First,United States of America,['US'],['US'],['Southwest'],United States,US,NA,['us'],,,,
