,DOI,Journal,Type,Title,Publish_Time,Issue_Time,Co Author,Author,Rank,Nationality,Abs_country,Abs_GPE,Abs_LOC,index,Nationality_clean,country_code,region_code,GPE,NORP,LOC,ORG,LANG
0,https://doi.org/10.1371/journal.pone.0265640,PLOS ONE,Research Article,"mechanical properties of lithic raw materials from kazakhstan: comparing chert, shale, and porphyry","April 22, 2022","April 22, 2022",True,Abay Namen,First,Kazakhstan,[],['the Inner Asian Mountain Corridor'],['the Palaeolithic of Kazakhstan'],0,Kazakhstan,KZ,AS,['kazakhstan'],,,,
1,https://doi.org/10.1371/journal.pone.0265640,PLOS ONE,Research Article,"mechanical properties of lithic raw materials from kazakhstan: comparing chert, shale, and porphyry","April 22, 2022","April 22, 2022",True,Radu Iovita,Other,United States of America,[],['the Inner Asian Mountain Corridor'],['the Palaeolithic of Kazakhstan'],1,United States,US,NA,['kazakhstan'],,,,
2,https://doi.org/10.1371/journal.pone.0265640,PLOS ONE,Research Article,"mechanical properties of lithic raw materials from kazakhstan: comparing chert, shale, and porphyry","April 22, 2022","April 22, 2022",True,Klaus G. Nickel,Other,Germany,[],['the Inner Asian Mountain Corridor'],['the Palaeolithic of Kazakhstan'],2,Germany,DE,EU,['kazakhstan'],,,,
3,https://doi.org/10.1371/journal.pone.0265640,PLOS ONE,Research Article,"mechanical properties of lithic raw materials from kazakhstan: comparing chert, shale, and porphyry","April 22, 2022","April 22, 2022",True,Aristeidis Varis,Other,Germany,[],['the Inner Asian Mountain Corridor'],['the Palaeolithic of Kazakhstan'],3,Germany,DE,EU,['kazakhstan'],,,,
4,https://doi.org/10.1371/journal.pone.0265640,PLOS ONE,Research Article,"mechanical properties of lithic raw materials from kazakhstan: comparing chert, shale, and porphyry","April 22, 2022","April 22, 2022",True,Zhaken Taimagambetov,Other,Kazakhstan,[],['the Inner Asian Mountain Corridor'],['the Palaeolithic of Kazakhstan'],4,Kazakhstan,KZ,AS,['kazakhstan'],,,,
5,https://doi.org/10.1371/journal.pone.0265640,PLOS ONE,Research Article,"mechanical properties of lithic raw materials from kazakhstan: comparing chert, shale, and porphyry","April 22, 2022","April 22, 2022",True,Patrick Schmidt,Other,Germany,[],['the Inner Asian Mountain Corridor'],['the Palaeolithic of Kazakhstan'],5,Germany,DE,EU,['kazakhstan'],,,,
6,https://doi.org/10.1371/journal.pone.0267163,PLOS ONE,Lab Protocol,practical and technical aspects for the 3d scanning of lithic artefacts using micro-computed tomography techniques and laser light scanners for subsequent geometric morphometric analysis. introducing the styrostone protocol,"April 21, 2022","April 21, 2022",True,Dominik Göldner,First,Germany,[],[],[],6,Germany,DE,EU,,,,,
7,https://doi.org/10.1371/journal.pone.0267163,PLOS ONE,Lab Protocol,practical and technical aspects for the 3d scanning of lithic artefacts using micro-computed tomography techniques and laser light scanners for subsequent geometric morphometric analysis. introducing the styrostone protocol,"April 21, 2022","April 21, 2022",True,Fotios Alexandros Karakostis,Other,Germany,[],[],[],7,Germany,DE,EU,,,,,
8,https://doi.org/10.1371/journal.pone.0267163,PLOS ONE,Lab Protocol,practical and technical aspects for the 3d scanning of lithic artefacts using micro-computed tomography techniques and laser light scanners for subsequent geometric morphometric analysis. introducing the styrostone protocol,"April 21, 2022","April 21, 2022",True,Armando Falcucci,Other,Germany,[],[],[],8,Germany,DE,EU,,,,,
9,https://doi.org/10.1371/journal.pone.0266146,PLOS ONE,Research Article,art by firelight? using experimental and digital techniques to explore magdalenian engraved plaquette use at montastruc (france),"April 20, 2022","April 20, 2022",True,Andy Needham,First,United Kingdom,['50' 'France'],['Montastruc' 'France'],[],9,United Kingdom,GB,EU,,['magdalenian'],,,
10,https://doi.org/10.1371/journal.pone.0266146,PLOS ONE,Research Article,art by firelight? using experimental and digital techniques to explore magdalenian engraved plaquette use at montastruc (france),"April 20, 2022","April 20, 2022",True,Izzy Wisher,Other,United Kingdom,['50' 'France'],['Montastruc' 'France'],[],10,United Kingdom,GB,EU,,['magdalenian'],,,
11,https://doi.org/10.1371/journal.pone.0266146,PLOS ONE,Research Article,art by firelight? using experimental and digital techniques to explore magdalenian engraved plaquette use at montastruc (france),"April 20, 2022","April 20, 2022",True,Andrew Langley,Other,United Kingdom,['50' 'France'],['Montastruc' 'France'],[],11,United Kingdom,GB,EU,,['magdalenian'],,,
12,https://doi.org/10.1371/journal.pone.0266146,PLOS ONE,Research Article,art by firelight? using experimental and digital techniques to explore magdalenian engraved plaquette use at montastruc (france),"April 20, 2022","April 20, 2022",True,Matthew Amy,Other,United Kingdom,['50' 'France'],['Montastruc' 'France'],[],12,United Kingdom,GB,EU,,['magdalenian'],,,
13,https://doi.org/10.1371/journal.pone.0266146,PLOS ONE,Research Article,art by firelight? using experimental and digital techniques to explore magdalenian engraved plaquette use at montastruc (france),"April 20, 2022","April 20, 2022",True,Aimée Little,Other,United Kingdom,['50' 'France'],['Montastruc' 'France'],[],13,United Kingdom,GB,EU,,['magdalenian'],,,
